request_id,event_timestamp,processing_timestamp,endpoint,attempt_number,status,latency_ms,total_latency_ms,found,visited_count,runtime_ms,error_message
0,2025-12-26T15:54:13.277271,2025-12-26T15:54:13.404301,localhost:50051,1,SUCCESS,126.02,126.02,False,0,0.00,
1,2025-12-26T15:54:13.405300,2025-12-26T15:54:13.496281,localhost:50052,1,SUCCESS,90.98,90.98,False,0,0.00,
2,2025-12-26T15:54:13.510652,2025-12-26T15:54:13.518298,localhost:50051,1,SUCCESS,7.65,7.65,False,0,0.00,
3,2025-12-26T15:54:13.620587,2025-12-26T15:54:13.627590,localhost:50052,1,SUCCESS,7.00,7.00,False,0,0.00,
4,2025-12-26T15:54:13.729855,2025-12-26T15:54:13.735856,localhost:50051,1,SUCCESS,6.00,6.00,False,0,0.00,
5,2025-12-26T15:54:13.840056,2025-12-26T15:54:13.849913,localhost:50052,1,SUCCESS,9.86,9.86,False,0,0.00,
6,2025-12-26T15:54:13.948175,2025-12-26T15:54:13.956133,localhost:50051,1,SUCCESS,7.96,7.96,False,0,0.00,
7,2025-12-26T15:54:14.056205,2025-12-26T15:54:14.066169,localhost:50052,1,SUCCESS,9.96,9.96,False,0,0.00,
8,2025-12-26T15:54:14.165780,2025-12-26T15:54:14.171743,localhost:50051,1,SUCCESS,5.96,5.96,False,0,0.00,
9,2025-12-26T15:54:14.274829,2025-12-26T15:54:14.282611,localhost:50052,1,SUCCESS,7.78,7.78,False,0,0.00,
10,2025-12-26T15:54:14.381960,2025-12-26T15:54:14.389988,localhost:50051,1,SUCCESS,8.03,8.03,False,0,0.00,
11,2025-12-26T15:54:14.493576,2025-12-26T15:54:14.498578,localhost:50052,1,SUCCESS,5.00,5.00,False,0,0.00,
12,2025-12-26T15:54:14.602191,2025-12-26T15:54:14.609249,localhost:50051,1,SUCCESS,7.06,7.06,False,0,0.00,
13,2025-12-26T15:54:14.709717,2025-12-26T15:54:14.718790,localhost:50052,1,SUCCESS,9.07,9.07,False,0,0.00,
14,2025-12-26T15:54:14.817291,2025-12-26T15:54:14.826091,localhost:50051,1,SUCCESS,8.80,8.80,False,0,0.00,
15,2025-12-26T15:54:14.926927,2025-12-26T15:54:14.932929,localhost:50052,1,SUCCESS,6.00,6.00,False,0,0.00,
16,2025-12-26T15:54:15.036361,2025-12-26T15:54:15.044380,localhost:50051,1,SUCCESS,8.02,8.02,False,0,0.00,
17,2025-12-26T15:54:15.144092,2025-12-26T15:54:15.153142,localhost:50052,1,SUCCESS,9.05,9.05,False,0,0.00,
18,2025-12-26T15:54:15.253523,2025-12-26T15:54:15.261525,localhost:50051,1,SUCCESS,8.00,8.00,False,0,0.00,
